"Date","Price","Open","High","Low","Vol.","Change %"
"20-01-2026","129.40","129.00","130.80","124.01","19.18M","3.76%"
"19-01-2026","124.71","124.73","128.00","122.42","12.16M","2.48%"
"16-01-2026","121.69","121.89","122.10","120.36","12.72M","-0.41%"
"14-01-2026","122.19","120.39","122.67","120.24","14.40M","1.50%"
"13-01-2026","120.39","120.49","120.71","119.71","10.13M","-0.03%"
"12-01-2026","120.43","118.00","120.60","118.00","9.61M","2.81%"
"09-01-2026","117.14","118.83","118.83","116.12","8.38M","1.04%"
"08-01-2026","115.94","117.33","117.33","115.00","5.67M","-0.57%"
"07-01-2026","116.60","117.03","117.89","116.19","7.01M","-0.24%"
"06-01-2026","116.88","120.00","120.00","116.51","9.73M","0.19%"
"05-01-2026","116.66","118.33","118.33","115.55","9.97M","1.05%"
"02-01-2026","115.45","116.63","116.63","114.33","7.26M","1.18%"
"01-01-2026","114.10","114.93","114.93","113.53","4.27M","0.34%"
"31-12-2025","113.71","114.94","114.94","113.33","7.21M","-1.07%"
"30-12-2025","114.94","114.00","115.93","113.86","8.04M","-1.65%"
"29-12-2025","116.87","120.90","120.90","115.00","12.79M","-0.92%"
"26-12-2025","117.96","119.88","119.88","116.69","9.46M","0.85%"
"24-12-2025","116.96","119.57","119.57","116.51","7.19M","0.26%"
"23-12-2025","116.66","114.35","117.40","114.35","5.98M","1.29%"
"22-12-2025","115.17","117.00","117.00","113.92","6.61M","1.61%"
"19-12-2025","113.35","112.85","116.36","112.33","4.57M","-0.16%"
"18-12-2025","113.53","114.28","114.28","113.30","4.37M","0.07%"
"17-12-2025","113.45","115.92","115.92","112.99","7.46M","0.31%"
"16-12-2025","113.10","113.35","113.59","112.45","8.77M","-1.27%"
"15-12-2025","114.55","115.92","115.92","113.05","8.19M","1.28%"
"12-12-2025","113.10","113.29","113.48","111.34","5.33M","2.33%"
"11-12-2025","110.53","110.50","110.86","109.33","4.74M","0.76%"
"10-12-2025","109.70","110.25","110.25","109.50","4.72M","0.00%"
"09-12-2025","109.70","109.42","110.18","108.93","3.75M","-0.50%"
"08-12-2025","110.25","100.80","110.54","100.80","4.97M","-0.04%"
"05-12-2025","110.29","109.11","110.45","109.11","4.31M","0.62%"
"04-12-2025","109.61","107.18","111.13","107.18","3.73M","-0.29%"
"03-12-2025","109.93","109.98","110.37","109.55","5.67M","0.51%"
"02-12-2025","109.37","110.20","110.20","109.15","4.97M","-0.81%"
"01-12-2025","110.26","109.90","110.50","109.10","5.85M","2.19%"
"28-11-2025","107.90","104.86","108.33","104.86","3.42M","0.33%"
"27-11-2025","107.55","107.60","107.69","107.05","2.74M","-0.09%"
"26-11-2025","107.65","107.32","107.79","107.31","2.45M","0.80%"
"25-11-2025","106.80","107.36","107.36","106.30","3.13M","1.22%"
"24-11-2025","105.51","105.30","105.75","104.81","2.33M","0.19%"
"21-11-2025","105.31","104.99","105.56","103.80","2.94M","0.40%"
"20-11-2025","104.89","105.33","105.33","104.22","3.89M","-0.42%"
"19-11-2025","105.33","104.53","105.80","104.53","4.63M","1.14%"
"18-11-2025","104.14","104.37","104.37","103.20","3.91M","-1.16%"
"17-11-2025","105.36","105.18","105.68","103.94","5.20M","-1.67%"
"14-11-2025","107.15","108.49","108.49","106.84","5.13M","-1.39%"
"13-11-2025","108.66","108.50","108.70","107.45","3.60M","2.48%"
"12-11-2025","106.03","106.28","106.29","105.46","4.17M","-0.46%"
"11-11-2025","106.52","107.56","107.56","106.02","5.52M","1.51%"
"10-11-2025","104.94","105.40","105.40","103.72","3.71M","1.69%"
"07-11-2025","103.20","103.30","103.38","102.41","3.07M","-0.14%"
"06-11-2025","103.34","103.29","103.49","102.56","3.62M","0.37%"
"04-11-2025","102.96","103.17","103.20","102.21","3.77M","-0.26%"
"03-11-2025","103.23","103.80","103.80","102.80","2.98M","-0.01%"
"31-10-2025","103.24","103.60","103.84","102.57","4.00M","0.50%"
"30-10-2025","102.73","100.30","103.00","100.01","4.68M","-0.15%"
"29-10-2025","102.88","101.60","103.15","100.76","5.19M","3.18%"
"28-10-2025","99.71","102.67","102.70","99.57","9.90M","-3.39%"
"27-10-2025","103.21","103.40","104.80","103.00","6.74M","-0.09%"
"24-10-2025","103.30","105.80","105.80","100.15","5.60M","-1.85%"
"23-10-2025","105.25","107.00","107.00","95.68","11.15M","-3.56%"
"21-10-2025","109.14","111.65","111.65","108.60","2.21M","0.19%"
"20-10-2025","108.93","111.03","111.03","107.40","11.72M","-2.36%"
"17-10-2025","111.56","111.00","112.80","110.88","12.61M","2.53%"
"16-10-2025","108.81","109.90","111.69","107.97","10.77M","-0.02%"
"15-10-2025","108.83","109.99","109.99","108.00","12.62M","0.31%"
"14-10-2025","108.49","108.50","109.00","106.51","16.24M","2.43%"
"13-10-2025","105.92","106.57","107.10","104.66","8.94M","1.87%"
"10-10-2025","103.98","103.70","104.30","102.20","8.98M","-1.00%"
"09-10-2025","105.03","104.88","105.84","104.21","16.35M","0.13%"
"08-10-2025","104.89","103.80","105.10","103.80","14.06M","1.92%"
"07-10-2025","102.91","103.51","103.51","102.20","12.67M","0.58%"
"06-10-2025","102.32","102.50","102.50","100.58","9.47M","2.04%"
"03-10-2025","100.27","98.85","102.70","98.85","12.91M","-0.61%"
"01-10-2025","100.89","100.70","101.72","99.70","10.08M","1.66%"
"30-09-2025","99.24","100.85","100.85","98.51","11.45M","0.09%"
"29-09-2025","99.15","98.70","99.25","97.85","8.53M","1.93%"
"26-09-2025","97.27","99.79","99.79","96.90","6.86M","-0.09%"
"25-09-2025","97.36","100.13","100.13","96.50","8.67M","-0.34%"
"24-09-2025","97.69","100.64","100.64","97.50","6.98M","-0.51%"
"23-09-2025","98.19","97.57","98.47","95.10","6.89M","2.21%"
"22-09-2025","96.07","95.40","96.22","94.62","6.80M","2.00%"
"19-09-2025","94.19","96.95","96.95","93.63","6.81M","-0.42%"
"18-09-2025","94.59","96.53","96.53","93.55","13.02M","0.44%"
"17-09-2025","94.18","95.18","95.18","93.90","6.05M","-1.07%"
"16-09-2025","95.20","95.30","95.37","94.50","8.12M","1.42%"
"15-09-2025","93.87","96.51","96.51","93.70","9.93M","-0.31%"
"12-09-2025","94.16","93.00","95.86","93.00","6.94M","0.67%"
"11-09-2025","93.53","96.28","96.28","93.28","10.26M","-0.44%"
"10-09-2025","93.94","96.96","96.96","93.31","14.29M","-0.21%"
"09-09-2025","94.14","95.20","95.20","91.00","9.58M","1.36%"
"08-09-2025","92.88","90.00","93.77","90.00","6.28M","1.52%"
"05-09-2025","91.49","91.63","91.70","90.50","3.39M","0.64%"
"04-09-2025","90.91","93.01","93.47","90.40","5.09M","0.18%"
"03-09-2025","90.75","91.72","91.72","90.32","4.54M","1.41%"
"02-09-2025","89.49","89.10","90.95","89.10","4.74M","0.07%"
"01-09-2025","89.43","89.20","90.05","89.10","6.45M","1.59%"
"29-08-2025","88.03","88.87","88.87","87.23","6.19M","1.08%"
"28-08-2025","87.09","88.64","88.64","86.67","2.34M","0.71%"
"26-08-2025","86.48","88.32","88.32","84.01","1.73M","0.36%"
"25-08-2025","86.17","86.50","86.50","85.63","2.79M","1.09%"
"22-08-2025","85.24","86.50","86.50","85.09","1.85M","0.00%"
"21-08-2025","85.24","85.00","86.85","84.74","1.83M","0.59%"
"20-08-2025","84.74","84.03","84.89","84.03","1.54M","-0.28%"
"19-08-2025","84.98","83.43","88.14","83.43","2.28M","-0.69%"
"18-08-2025","85.57","84.15","86.25","83.72","2.76M","-0.29%"
"14-08-2025","85.82","86.00","86.00","85.52","1.84M","-0.08%"
"13-08-2025","85.89","83.46","85.99","83.46","2.84M","0.33%"
"12-08-2025","85.61","88.01","88.01","85.44","3.10M","-0.30%"
"11-08-2025","85.87","87.01","87.89","85.75","2.96M","-1.31%"
"08-08-2025","87.01","88.77","88.77","86.61","2.67M","0.46%"
"07-08-2025","86.61","83.94","86.96","83.94","2.56M","0.59%"
"06-08-2025","86.10","87.28","88.87","86.00","3.55M","-0.21%"
"05-08-2025","86.28","87.45","87.45","85.80","4.67M","0.40%"
"04-08-2025","85.94","86.93","86.93","85.31","2.13M","1.68%"
"01-08-2025","84.52","86.90","86.90","84.03","2.53M","-0.32%"
"31-07-2025","84.79","87.74","87.74","83.05","2.64M","-0.46%"
"30-07-2025","85.18","87.02","87.02","84.33","2.47M","0.82%"
"29-07-2025","84.49","86.67","86.67","84.00","2.05M","-0.08%"
"28-07-2025","84.56","87.24","87.24","84.01","1.57M","-0.17%"
"25-07-2025","84.70","85.63","85.63","84.61","1.67M","-0.27%"
"24-07-2025","84.93","86.46","86.46","84.85","2.45M","-1.79%"
"23-07-2025","86.48","85.63","86.95","85.63","2.19M","1.23%"
"22-07-2025","85.43","86.82","86.82","85.05","1.58M","0.85%"
"21-07-2025","84.71","84.25","84.80","84.25","1.34M","0.43%"
"18-07-2025","84.35","85.80","85.80","83.71","2.35M","0.76%"
"17-07-2025","83.71","85.95","85.95","83.58","1.05M","-0.18%"
"16-07-2025","83.86","84.10","84.20","83.58","2.46M","-0.50%"
"15-07-2025","84.28","86.50","86.50","82.08","2.63M","-0.40%"
"14-07-2025","84.62","84.93","84.93","84.17","1.93M","0.99%"
