"Date","Price","Open","High","Low","Vol.","Change %"
"10-11-2025","104.92","103.35","105.64","103.35","4.99M","1.79%"
"07-11-2025","103.07","103.10","103.14","102.59","3.60M","-0.13%"
"06-11-2025","103.20","102.99","103.34","102.45","4.60M","0.36%"
"04-11-2025","102.83","102.03","103.07","102.03","5.46M","-0.33%"
"03-11-2025","103.17","103.63","103.75","102.82","6.76M","-0.04%"
"31-10-2025","103.21","102.55","103.99","102.50","3.86M","0.65%"
"30-10-2025","102.54","105.32","105.32","100.19","6.87M","-0.21%"
"29-10-2025","102.76","102.55","103.11","100.00","5.85M","3.21%"
"28-10-2025","99.56","102.87","102.87","99.27","13.63M","-3.41%"
"27-10-2025","103.07","105.55","105.55","102.93","7.72M","-0.43%"
"24-10-2025","103.51","102.22","105.60","102.22","18.72M","-1.28%"
"23-10-2025","104.85","105.58","105.60","98.50","10.65M","-3.71%"
"21-10-2025","108.89","105.99","112.23","105.99","2.07M","0.17%"
"20-10-2025","108.71","111.51","111.51","107.05","13.57M","-2.51%"
"17-10-2025","111.51","110.43","112.00","110.03","15.04M","2.60%"
"16-10-2025","108.68","108.69","109.96","107.83","13.59M","0.04%"
"15-10-2025","108.64","109.03","109.60","108.09","17.87M","0.21%"
"14-10-2025","108.41","108.23","108.90","106.34","17.27M","2.30%"
"13-10-2025","105.97","106.38","106.89","104.10","15.88M","2.10%"
"10-10-2025","103.79","103.70","103.95","102.14","14.33M","-1.07%"
"09-10-2025","104.91","104.74","105.18","104.46","15.43M","0.16%"
"08-10-2025","104.74","104.57","104.90","103.76","16.13M","2.06%"
"07-10-2025","102.63","103.45","103.45","102.14","17.34M","0.35%"
"06-10-2025","102.27","102.60","102.60","101.10","14.47M","2.17%"
"03-10-2025","100.10","100.24","100.40","99.00","13.92M","-0.68%"
"01-10-2025","100.79","99.62","102.00","99.62","23.90M","1.66%"
"30-09-2025","99.14","100.97","100.97","98.61","16.83M","0.16%"
"29-09-2025","98.98","99.53","99.53","97.11","12.15M","1.93%"
"26-09-2025","97.11","99.69","99.69","96.76","13.17M","-0.15%"
"25-09-2025","97.26","95.19","100.08","95.19","17.65M","-0.39%"
"24-09-2025","97.64","100.40","100.40","97.31","9.73M","-0.33%"
"23-09-2025","97.96","93.64","98.20","93.64","10.13M","1.99%"
"22-09-2025","96.05","96.43","96.43","94.33","7.56M","2.09%"
"19-09-2025","94.08","97.25","97.25","93.70","7.13M","-0.36%"
"18-09-2025","94.42","96.40","96.40","93.48","8.76M","0.39%"
"17-09-2025","94.05","95.83","95.83","93.79","9.24M","-1.10%"
"16-09-2025","95.10","95.30","95.50","94.35","8.25M","1.42%"
"15-09-2025","93.77","96.84","96.84","93.51","7.33M","-0.27%"
"12-09-2025","94.02","95.74","95.74","90.61","6.17M","0.65%"
"11-09-2025","93.41","94.55","96.07","93.22","8.49M","-0.34%"
"10-09-2025","93.73","95.00","96.80","93.33","10.64M","-0.39%"
"09-09-2025","94.10","92.15","94.59","92.10","5.46M","1.38%"
"08-09-2025","92.82","93.69","94.15","91.41","6.27M","1.54%"
"05-09-2025","91.41","91.50","92.08","88.11","3.83M","0.63%"
"04-09-2025","90.84","91.80","93.00","90.31","4.66M","0.19%"
"03-09-2025","90.67","91.33","91.33","90.03","4.18M","1.44%"
"02-09-2025","89.38","91.63","91.63","89.03","3.69M","-0.02%"
"01-09-2025","89.40","87.93","90.48","87.93","5.13M","1.67%"
"29-08-2025","87.93","84.81","89.16","84.81","2.59M","1.08%"
"28-08-2025","86.99","87.30","87.30","85.50","2.54M","0.73%"
"26-08-2025","86.36","86.70","86.89","84.30","2.83M","0.34%"
"25-08-2025","86.07","87.28","87.28","85.43","3.09M","1.07%"
"22-08-2025","85.16","84.10","86.25","83.50","1.48M","0.00%"
"21-08-2025","85.16","85.00","87.17","82.51","1.88M","0.63%"
"20-08-2025","84.63","84.00","84.80","83.75","2.56M","-0.26%"
"19-08-2025","84.85","83.31","87.58","83.31","2.46M","-0.70%"
"18-08-2025","85.45","86.00","86.04","85.16","3.44M","-0.30%"
"14-08-2025","85.71","86.10","86.10","85.40","3.52M","-0.10%"
"13-08-2025","85.80","85.80","86.00","85.10","3.01M","0.35%"
"12-08-2025","85.50","85.50","85.80","85.00","4.04M","-0.33%"
"11-08-2025","85.78","86.70","88.67","85.65","2.96M","-1.37%"
"08-08-2025","86.97","86.80","87.35","84.38","2.71M","0.49%"
"07-08-2025","86.55","87.95","87.95","83.85","3.11M","0.63%"
"06-08-2025","86.01","86.00","86.70","85.90","2.30M","-0.16%"
"05-08-2025","86.15","87.63","87.63","85.91","2.87M","0.30%"
"04-08-2025","85.89","86.48","86.93","85.39","4.03M","1.79%"
"01-08-2025","84.38","85.07","85.07","84.03","3.01M","-0.38%"
"31-07-2025","84.70","85.03","85.03","82.91","2.48M","-0.40%"
"30-07-2025","85.04","86.49","86.49","84.50","1.72M","0.77%"
"29-07-2025","84.39","86.58","86.58","84.01","2.45M","-0.09%"
"28-07-2025","84.47","85.17","85.17","84.00","2.00M","-0.17%"
"25-07-2025","84.61","85.63","85.63","84.46","3.48M","-0.22%"
"24-07-2025","84.80","86.37","86.37","84.71","2.16M","-1.86%"
"23-07-2025","86.41","85.53","86.99","85.53","3.55M","1.25%"
"22-07-2025","85.34","86.50","86.50","82.61","2.05M","0.72%"
"21-07-2025","84.73","85.20","85.20","82.21","2.17M","0.49%"
"18-07-2025","84.32","81.54","84.99","81.54","1.10M","0.81%"
"17-07-2025","83.64","86.30","86.30","83.49","1.01M","-0.18%"
"16-07-2025","83.79","83.95","83.95","83.52","1.22M","-0.48%"
"15-07-2025","84.19","86.61","86.61","83.50","2.05M","-0.37%"
"14-07-2025","84.50","84.99","84.99","84.04","2.02M","0.99%"
"11-07-2025","83.67","81.20","85.37","81.20","1.82M","0.46%"
"10-07-2025","83.29","83.75","83.75","82.49","2.20M","0.97%"
"09-07-2025","82.49","83.55","83.55","82.38","2.16M","-0.97%"
"08-07-2025","83.30","83.50","83.69","83.17","1.87M","0.25%"
"07-07-2025","83.09","81.26","85.43","81.26","2.74M","-0.31%"
"04-07-2025","83.35","83.90","85.99","83.14","2.35M","-0.17%"
"03-07-2025","83.49","81.55","85.74","81.55","4.36M","-0.19%"
"02-07-2025","83.65","86.14","86.14","81.53","2.54M","0.02%"
"01-07-2025","83.63","83.99","83.99","82.36","2.31M","1.48%"
"30-06-2025","82.41","82.26","82.63","79.79","2.82M","0.18%"
"27-06-2025","82.26","85.74","85.74","82.09","3.70M","-1.66%"
"26-06-2025","83.65","84.63","85.62","83.40","1.72M","0.13%"
"25-06-2025","83.54","85.51","85.93","83.41","2.51M","0.13%"
"24-06-2025","83.43","87.38","87.38","83.33","4.71M","-2.13%"
"23-06-2025","85.25","86.94","86.94","84.83","3.52M","0.51%"
"20-06-2025","84.82","87.45","87.45","82.76","2.04M","-0.59%"
"19-06-2025","85.32","87.44","87.44","84.60","4.99M","0.01%"
"18-06-2025","85.31","86.07","86.07","84.33","2.58M","0.28%"
"17-06-2025","85.07","87.78","87.98","84.70","4.18M","-0.67%"
"16-06-2025","85.64","87.72","87.72","85.37","3.52M","0.06%"
"13-06-2025","85.59","81.77","86.39","81.77","4.09M","2.05%"
"12-06-2025","83.87","81.14","84.80","81.14","1.74M","0.77%"
"11-06-2025","83.23","85.15","85.15","81.00","2.23M","0.18%"
"10-06-2025","83.08","80.85","83.14","80.85","3.35M","0.18%"
"09-06-2025","82.93","85.80","85.80","82.01","3.98M","-0.93%"
"06-06-2025","83.71","86.39","86.39","82.18","2.07M","-0.69%"
"05-06-2025","84.29","84.79","84.79","83.66","2.14M","0.56%"
"04-06-2025","83.82","85.51","85.51","81.34","1.91M","0.47%"
"03-06-2025","83.43","83.23","84.93","83.23","1.38M","0.47%"
"02-06-2025","83.04","82.02","83.15","82.02","2.66M","1.24%"
"30-05-2025","82.02","81.99","82.10","81.59","1.27M","0.54%"
"29-05-2025","81.58","82.25","82.25","81.38","1.57M","-1.15%"
"28-05-2025","82.53","84.40","84.40","81.97","1.34M","0.72%"
"27-05-2025","81.94","84.64","84.64","81.82","1.84M","-0.28%"
"26-05-2025","82.17","83.33","83.33","81.90","1.58M","0.17%"
"23-05-2025","82.03","96.00","96.00","81.90","1.77M","-0.30%"
"22-05-2025","82.28","82.80","82.80","82.10","1.38M","0.39%"
"21-05-2025","81.96","81.20","82.35","81.20","1.94M","1.65%"
"20-05-2025","80.63","80.99","80.99","80.00","9.83M","-0.16%"
"19-05-2025","80.76","82.54","82.54","80.19","1.34M","0.77%"
"16-05-2025","80.14","80.26","80.80","80.01","1.15M","0.92%"
"15-05-2025","79.41","83.51","83.51","78.75","3.39M","-2.06%"
"14-05-2025","81.08","81.50","81.50","80.60","2.18M","-0.60%"
"13-05-2025","81.57","82.97","82.97","80.45","3.47M","1.27%"
"12-05-2025","80.55","82.32","82.47","80.20","3.01M","-3.50%"
"09-05-2025","83.47","83.40","83.63","82.51","3.04M","0.04%"
"08-05-2025","83.44","84.01","84.58","82.40","2.50M","-0.64%"
"07-05-2025","83.98","84.60","84.60","83.55","6.06M","-0.17%"
"06-05-2025","84.12","84.95","84.95","83.10","3.77M","1.99%"
"05-05-2025","82.48","82.24","82.71","80.81","3.17M","1.71%"
"02-05-2025","81.09","81.25","81.46","80.03","2.93M","-0.52%"
"30-04-2025","81.51","82.99","82.99","81.15","3.39M","-1.12%"
"29-04-2025","82.43","83.20","83.20","82.14","903.23K","0.98%"
"28-04-2025","81.63","82.50","82.54","81.50","1.81M","-1.08%"
"25-04-2025","82.52","82.63","83.40","80.00","2.57M","-0.53%"
"24-04-2025","82.96","85.33","85.33","82.61","2.55M","0.14%"
"23-04-2025","82.84","83.54","84.27","82.26","2.44M","-2.79%"
"22-04-2025","85.22","85.95","97.00","84.82","4.34M","2.12%"
"21-04-2025","83.45","84.35","84.35","81.01","9.24M","1.90%"
"17-04-2025","81.89","83.33","83.33","81.55","3.24M","0.53%"
"16-04-2025","81.46","81.20","81.60","80.73","15.86M","1.86%"
"15-04-2025","79.97","77.75","80.68","77.75","6.15M","-0.25%"
"11-04-2025","80.17","78.50","81.00","78.40","3.70M","4.12%"
"09-04-2025","77.00","76.50","77.20","75.81","12.94M","1.53%"
"08-04-2025","75.84","76.00","76.00","75.20","2.21M","-0.17%"
"07-04-2025","75.97","76.93","77.49","64.96","4.06M","-1.58%"
"04-04-2025","77.19","77.90","77.90","76.93","11.34M","-1.43%"
"03-04-2025","78.31","80.70","80.70","78.10","2.79M","-0.03%"
"02-04-2025","78.33","78.67","79.00","77.95","16.36M","0.05%"
"01-04-2025","78.29","77.98","78.60","77.01","7.02M","2.14%"
"28-03-2025","76.65","74.20","77.00","73.80","1.65M","0.75%"
"27-03-2025","76.08","75.43","76.17","75.43","929.12K","0.73%"
"26-03-2025","75.53","77.80","77.80","75.25","2.03M","-0.03%"
"25-03-2025","75.55","77.85","77.85","75.12","561.66K","-0.03%"
"24-03-2025","75.57","76.88","76.88","75.40","3.57M","-0.87%"
"21-03-2025","76.23","76.95","76.95","76.09","2.28M","-0.47%"
"20-03-2025","76.59","76.90","76.90","76.35","7.01M","0.35%"
"19-03-2025","76.32","77.19","77.19","76.20","5.73M","-0.03%"
"18-03-2025","76.34","73.50","76.49","73.50","2.63M","0.73%"
"17-03-2025","75.79","76.77","76.77","75.23","3.84M","1.08%"
"13-03-2025","74.98","74.50","75.09","74.44","1.51M","0.89%"
"12-03-2025","74.32","74.95","74.95","74.16","1.36M","0.08%"
"11-03-2025","74.26","74.88","74.88","72.96","2.23M","-0.16%"
"10-03-2025","74.38","74.79","74.79","74.10","1.32M","-0.09%"
"07-03-2025","74.45","74.43","74.54","74.22","2.21M","0.36%"
"06-03-2025","74.18","76.75","76.75","74.00","3.39M","-0.47%"
"05-03-2025","74.53","76.85","76.85","74.33","11.54M","-0.09%"
"04-03-2025","74.60","74.83","74.83","73.91","1.33M","1.34%"
"03-03-2025","73.61","74.19","74.19","73.01","3.80M","0.19%"
"28-02-2025","73.47","76.25","76.25","71.85","2.73M","-0.78%"
"27-02-2025","74.05","77.25","77.25","73.75","3.42M","-1.29%"
"25-02-2025","75.02","75.20","75.20","74.60","2.17M","0.33%"
"24-02-2025","74.77","74.99","74.99","74.38","3.73M","0.58%"
"21-02-2025","74.34","77.00","77.00","74.00","2.89M","-0.56%"
"20-02-2025","74.76","75.99","75.99","74.32","2.87M","-0.40%"
"19-02-2025","75.06","75.67","75.67","74.04","1.31M","1.12%"
"18-02-2025","74.23","74.87","74.87","73.01","3.64M","0.42%"
"17-02-2025","73.92","76.80","76.80","72.72","3.50M","-0.83%"
"14-02-2025","74.54","75.00","75.00","74.15","2.00M","0.78%"
"13-02-2025","73.96","75.05","75.05","73.76","2.93M","0.38%"
"12-02-2025","73.68","76.45","76.45","73.20","2.67M","-0.70%"
"11-02-2025","74.20","74.97","75.30","73.96","3.68M","-0.54%"
"10-02-2025","74.60","75.85","75.85","73.72","3.30M","1.33%"
"07-02-2025","73.62","71.35","74.73","71.35","3.23M","0.11%"
"06-02-2025","73.54","73.60","73.90","73.04","3.18M","-0.05%"
"05-02-2025","73.58","73.12","73.68","72.53","3.21M","2.08%"
"04-02-2025","72.08","72.69","72.69","71.63","1.54M","0.54%"
"03-02-2025","71.69","72.46","72.46","70.00","3.10M","0.49%"
"01-02-2025","71.34","72.00","72.00","70.92","1.20M","0.27%"
"31-01-2025","71.15","70.36","71.25","70.36","1.75M","1.34%"
"30-01-2025","70.21","72.10","72.10","69.53","1.65M","0.33%"
"29-01-2025","69.98","70.87","70.87","68.91","1.95M","0.56%"
"28-01-2025","69.59","70.57","70.57","69.38","2.20M","-0.22%"
"27-01-2025","69.74","69.90","69.90","69.21","2.03M","-0.06%"
"24-01-2025","69.78","69.50","70.18","69.50","1.26M","0.45%"
"23-01-2025","69.47","69.70","69.88","69.33","1.66M","-0.37%"
"22-01-2025","69.73","69.20","69.84","69.20","1.98M","0.90%"
"21-01-2025","69.11","69.40","69.40","68.66","1.82M","0.20%"
"20-01-2025","68.97","71.05","71.05","68.36","1.88M","-0.04%"
"17-01-2025","69.00","70.65","70.65","68.58","1.87M","0.58%"
"16-01-2025","68.60","68.55","68.79","68.28","1.41M","0.41%"
"15-01-2025","68.32","70.10","70.10","67.87","1.80M","0.38%"
"14-01-2025","68.06","68.20","68.20","67.58","1.20M","-0.21%"
"13-01-2025","68.20","69.70","69.70","67.60","2.04M","0.80%"
"10-01-2025","67.66","67.89","67.89","67.37","2.27M","0.58%"
"09-01-2025","67.27","67.83","67.83","67.07","1.79M","0.30%"
"08-01-2025","67.07","68.80","68.80","66.68","2.21M","0.43%"
"07-01-2025","66.78","67.60","67.60","66.55","2.10M","0.27%"
"06-01-2025","66.60","65.00","68.02","65.00","1.70M","-0.63%"
"03-01-2025","67.02","67.70","67.70","66.90","1.50M","0.68%"
"02-01-2025","66.57","67.78","67.78","66.35","1.84M","0.33%"
"01-01-2025","66.35","68.00","68.00","66.11","1.10M","0.47%"
"31-12-2024","66.04","67.95","67.95","65.60","999.86K","0.11%"
"30-12-2024","65.97","68.20","68.20","65.86","1.21M","-0.33%"
"27-12-2024","66.19","66.60","66.60","65.98","1.56M","0.32%"
"26-12-2024","65.98","67.60","67.60","65.81","1.14M","0.50%"
"24-12-2024","65.65","63.95","65.88","63.95","1.49M","-0.42%"
"23-12-2024","65.93","66.86","66.86","65.26","3.88M","0.87%"
"20-12-2024","65.36","67.70","67.70","65.21","865.53K","-0.58%"
"19-12-2024","65.74","65.84","65.84","65.23","1.19M","-0.92%"
"18-12-2024","66.35","66.25","66.39","66.01","934.83K","0.35%"
"17-12-2024","66.12","66.46","66.53","66.04","1.01M","-0.45%"
"16-12-2024","66.42","66.57","66.57","66.16","1.73M","-0.23%"
"13-12-2024","66.57","65.45","69.50","65.45","3.02M","-1.33%"
"12-12-2024","67.47","67.99","67.99","67.20","1.56M","0.88%"
"11-12-2024","66.88","67.40","67.57","66.82","1.76M","0.35%"
"10-12-2024","66.65","68.25","68.25","66.45","1.38M","0.60%"
"09-12-2024","66.25","66.36","66.36","65.81","1.51M","0.45%"
"06-12-2024","65.95","66.06","66.06","65.53","1.20M","-0.17%"
"05-12-2024","66.06","65.91","66.39","65.91","705.74K","0.26%"
"04-12-2024","65.89","67.24","67.24","65.79","1.21M","-0.24%"
"03-12-2024","66.05","67.75","67.75","65.83","1.79M","0.38%"
"02-12-2024","65.80","68.30","68.30","65.21","1.55M","-0.74%"
"29-11-2024","66.29","67.10","67.10","65.89","783.00K","0.58%"
"28-11-2024","65.91","65.85","65.99","65.51","1.52M","-0.09%"
"27-11-2024","65.97","65.65","66.03","65.52","3.54M","0.98%"
"26-11-2024","65.33","64.30","65.74","64.30","2.05M","-1.48%"
"25-11-2024","66.31","67.00","67.00","66.02","1.02M","-1.46%"
"22-11-2024","67.29","67.50","67.50","66.63","2.83M","1.16%"
"21-11-2024","66.52","67.13","67.13","65.25","4.21M","1.36%"
"19-11-2024","65.63","64.79","65.99","62.85","1.84M","1.30%"
"18-11-2024","64.79","63.75","64.99","63.75","2.97M","1.63%"
"14-11-2024","63.75","65.03","65.03","63.65","2.27M","-2.12%"
"13-11-2024","65.13","65.50","65.50","64.82","1.05M","0.59%"
"12-11-2024","64.75","66.00","66.00","64.60","1.94M","-2.57%"
