"Date","Price","Open","High","Low","Vol.","Change %"
"01-10-2025","98.42","93.79","98.70","93.79","4.03M","2.31%"
"30-09-2025","96.20","97.20","98.19","96.10","4.89M","-0.27%"
"29-09-2025","96.46","96.45","96.68","95.40","1.89M","1.87%"
"26-09-2025","94.69","94.90","96.70","94.32","3.84M","-0.35%"
"25-09-2025","95.02","97.76","97.76","94.20","3.68M","-0.38%"
"24-09-2025","95.38","96.00","96.00","95.04","3.01M","-0.42%"
"23-09-2025","95.78","96.15","96.15","94.10","3.30M","2.10%"
"22-09-2025","93.81","94.19","94.19","92.40","1.80M","2.08%"
"19-09-2025","91.90","94.50","94.50","90.20","2.31M","-0.33%"
"18-09-2025","92.20","92.28","92.44","91.28","2.03M","0.40%"
"17-09-2025","91.83","92.95","93.30","91.62","2.49M","-1.07%"
"16-09-2025","92.82","93.00","93.16","92.03","2.49M","1.38%"
"15-09-2025","91.56","94.06","94.06","91.34","2.34M","-0.23%"
"12-09-2025","91.77","93.44","93.44","91.42","1.94M","0.66%"
"11-09-2025","91.17","91.99","91.99","91.11","2.92M","-0.31%"
"10-09-2025","91.45","93.94","93.94","89.35","1.95M","-0.22%"
"09-09-2025","91.65","90.88","92.24","90.88","4.22M","0.86%"
"08-09-2025","90.87","91.36","91.36","89.14","1.27M","1.94%"
"05-09-2025","89.14","90.93","90.93","88.80","1.14M","0.47%"
"04-09-2025","88.72","88.68","89.03","88.03","5.10M","0.05%"
"03-09-2025","88.68","87.47","88.85","87.47","1.84M","1.38%"
"02-09-2025","87.47","88.95","88.95","87.13","1.73M","0.00%"
"01-09-2025","87.47","87.23","88.15","86.90","1.47M","1.73%"
"29-08-2025","85.98","85.69","86.00","85.12","11.46M","1.13%"
"28-08-2025","85.02","86.56","86.56","84.66","1.10M","0.67%"
"26-08-2025","84.45","86.61","86.61","84.03","390.04K","0.43%"
"25-08-2025","84.09","83.33","84.63","83.33","722.83K","1.00%"
"22-08-2025","83.26","83.20","83.53","82.82","1.56M","0.07%"
"21-08-2025","83.20","84.75","84.75","82.50","204.62K","0.62%"
"20-08-2025","82.69","82.20","82.90","80.77","295.05K","-0.19%"
"19-08-2025","82.85","83.47","83.63","82.85","761.31K","-0.74%"
"18-08-2025","83.47","84.22","84.22","83.03","1.05M","-0.39%"
"14-08-2025","83.80","83.88","84.29","83.33","607.53K","-0.10%"
"13-08-2025","83.88","83.57","84.05","83.57","817.03K","0.37%"
"12-08-2025","83.57","86.01","86.01","83.03","1.09M","-0.42%"
"11-08-2025","83.92","84.65","85.00","82.68","1.17M","-1.28%"
"08-08-2025","85.01","87.23","87.23","84.69","580.22K","0.38%"
"07-08-2025","84.69","86.26","86.26","84.32","719.90K","0.63%"
"06-08-2025","84.16","85.00","86.38","83.92","840.10K","-0.14%"
"05-08-2025","84.28","85.63","85.63","84.03","462.19K","0.35%"
"04-08-2025","83.99","84.50","84.50","83.02","943.83K","1.95%"
"01-08-2025","82.38","82.98","82.98","82.02","1.33M","-0.47%"
"31-07-2025","82.77","82.80","82.90","81.30","1.10M","-0.28%"
"30-07-2025","83.00","82.41","83.14","82.41","543.59K","0.72%"
"29-07-2025","82.41","84.56","84.56","81.53","537.65K","-0.11%"
"28-07-2025","82.50","83.08","83.08","81.63","1.16M","-0.21%"
"25-07-2025","82.67","83.95","83.95","82.47","855.74K","-0.22%"
"24-07-2025","82.85","85.83","86.48","82.85","1.00M","-1.81%"
"23-07-2025","84.38","85.45","85.45","83.53","888.27K","1.14%"
"22-07-2025","83.43","82.71","83.95","82.71","511.70K","0.92%"
"21-07-2025","82.67","84.34","84.34","82.06","331.26K","0.46%"
"18-07-2025","82.29","79.76","83.85","79.76","272.59K","0.59%"
"17-07-2025","81.81","81.91","82.40","81.63","1.13M","-0.12%"
"16-07-2025","81.91","82.10","82.10","81.72","195.52K","-0.46%"
"15-07-2025","82.29","84.93","84.93","82.05","307.86K","-0.21%"
"14-07-2025","82.46","81.82","82.60","81.82","439.70K","0.78%"
"11-07-2025","81.82","81.42","81.84","81.42","720.87K","0.49%"
"10-07-2025","81.42","80.70","81.50","80.70","1.20M","1.08%"
"09-07-2025","80.55","81.26","81.30","80.53","593.09K","-1.08%"
"08-07-2025","81.43","82.13","82.13","81.15","1.34M","0.37%"
"07-07-2025","81.13","81.46","81.49","80.81","346.37K","-0.41%"
"04-07-2025","81.46","82.10","82.10","81.31","493.09K","-0.27%"
"03-07-2025","81.68","83.82","83.82","81.33","1.04M","-0.12%"
"02-07-2025","81.78","84.13","84.13","80.63","1.23M","0.12%"
"01-07-2025","81.68","78.49","81.99","78.49","1.16M","1.45%"
"30-06-2025","80.51","78.35","80.95","78.35","1.32M","0.19%"
"27-06-2025","80.36","81.63","83.77","80.01","1.67M","-1.74%"
"26-06-2025","81.78","81.73","82.20","81.49","1.83M","0.06%"
"25-06-2025","81.73","83.61","83.61","81.52","1.32M","0.18%"
"24-06-2025","81.58","82.99","83.00","81.41","1.41M","-2.09%"
"23-06-2025","83.32","83.95","83.95","82.63","1.01M","0.52%"
"20-06-2025","82.89","85.45","85.45","82.57","546.75K","-0.58%"
"19-06-2025","83.37","85.53","85.53","82.75","415.78K","-0.10%"
"18-06-2025","83.45","83.00","83.66","82.42","1.27M","0.40%"
"17-06-2025","83.12","83.60","83.60","82.90","762.34K","-0.79%"
"16-06-2025","83.78","85.84","85.84","83.53","1.08M","0.04%"
"13-06-2025","83.75","82.63","83.85","82.63","1.07M","2.21%"
"12-06-2025","81.94","82.95","82.95","81.46","1.20M","0.87%"
"11-06-2025","81.23","80.91","81.45","80.91","223.91K","0.21%"
"10-06-2025","81.06","80.88","81.09","80.49","1.95M","0.09%"
"09-06-2025","80.99","79.75","81.65","79.75","790.78K","-0.99%"
"06-06-2025","81.80","84.29","84.29","81.27","4.32M","-0.54%"
"05-06-2025","82.24","83.87","83.87","81.40","3.31M","0.50%"
"04-06-2025","81.83","81.59","82.19","81.50","2.05M","0.29%"
"03-06-2025","81.59","81.03","82.63","81.03","2.48M","0.57%"
"02-06-2025","81.13","80.25","81.25","79.83","526.76K","1.10%"
"30-05-2025","80.25","79.67","80.27","79.62","549.07K","0.73%"
"29-05-2025","79.67","80.30","80.30","79.50","647.65K","-1.07%"
"28-05-2025","80.53","80.13","80.78","80.13","184.54K","0.51%"
"27-05-2025","80.12","81.45","81.45","80.04","774.33K","-0.47%"
"26-05-2025","80.50","80.33","80.70","80.26","378.88K","0.31%"
"23-05-2025","80.25","82.71","82.71","79.93","587.91K","-0.06%"
"22-05-2025","80.30","80.21","80.94","80.21","314.05K","0.38%"
"21-05-2025","80.00","81.04","81.04","79.30","751.01K","1.68%"
"20-05-2025","78.68","78.86","78.86","78.01","214.04K","-0.23%"
"19-05-2025","78.86","79.45","79.45","77.13","423.66K","0.83%"
"16-05-2025","78.21","78.03","79.18","78.03","1.53M","0.57%"
"15-05-2025","77.77","79.00","79.00","76.98","2.11M","-1.48%"
"14-05-2025","78.94","79.35","79.35","78.50","483.19K","-0.52%"
"13-05-2025","79.35","80.81","80.81","78.50","2.46M","1.13%"
"12-05-2025","78.46","80.95","80.95","78.35","960.90K","-3.51%"
"09-05-2025","81.31","81.15","81.54","80.10","490.65K","0.05%"
"08-05-2025","81.27","81.53","82.20","80.00","2.80M","-0.32%"
"07-05-2025","81.53","82.13","82.68","81.47","6.91M","-0.72%"
"06-05-2025","82.12","80.33","82.25","80.33","706.26K","2.69%"
"05-05-2025","79.97","79.63","80.15","78.30","2.22M","1.00%"
"02-05-2025","79.18","79.50","79.50","78.22","535.66K","-0.38%"
"30-04-2025","79.48","80.47","80.60","79.25","1.09M","-1.24%"
"29-04-2025","80.48","80.01","82.00","80.01","2.76M","1.09%"
"28-04-2025","79.61","80.59","80.67","79.46","1.98M","-1.33%"
"25-04-2025","80.68","81.11","81.54","80.34","1.02M","-0.53%"
"24-04-2025","81.11","81.00","81.45","80.64","1.82M","-0.02%"
"23-04-2025","81.13","83.00","83.25","80.30","8.01M","-2.68%"
"22-04-2025","83.36","82.00","84.49","82.00","2.56M","2.17%"
"21-04-2025","81.59","80.00","81.61","80.00","3.18M","2.18%"
"17-04-2025","79.85","79.71","80.64","79.71","1.44M","0.30%"
"16-04-2025","79.61","78.70","79.80","78.70","750.88K","1.89%"
"15-04-2025","78.13","78.99","78.99","77.88","669.65K","-0.34%"
"11-04-2025","78.40","76.85","79.05","76.85","2.19M","4.08%"
"09-04-2025","75.33","73.71","75.55","73.71","385.86K","1.73%"
"08-04-2025","74.05","74.10","74.36","72.63","1.31M","-0.46%"
"07-04-2025","74.39","75.13","75.13","68.01","6.29M","-1.21%"
"04-04-2025","75.30","76.95","76.95","75.11","2.30M","-1.56%"
"03-04-2025","76.49","77.17","77.29","76.30","928.27K","-0.29%"
"02-04-2025","76.71","76.95","77.40","76.25","1.50M","-0.31%"
"01-04-2025","76.95","75.91","77.40","75.80","1.09M","2.68%"
"28-03-2025","74.94","74.59","75.17","74.54","992.47K","1.00%"
"27-03-2025","74.20","73.62","74.27","73.53","449.83K","0.71%"
"26-03-2025","73.68","73.78","74.05","73.42","942.19K","-0.14%"
"25-03-2025","73.78","73.81","73.88","73.21","726.97K","-0.04%"
"24-03-2025","73.81","74.85","75.11","73.50","1.51M","-0.86%"
"21-03-2025","74.45","74.99","74.99","74.25","6.22M","-0.79%"
