"Date","Price","Open","High","Low","Vol.","Change %"
"09-09-2025","88.248","88.002","88.261","87.949","","0.30%"
"08-09-2025","87.981","88.153","88.196","87.922","","-0.23%"
"05-09-2025","88.187","88.125","88.367","88.069","","-0.01%"
"04-09-2025","88.193","88.079","88.220","87.999","","0.14%"
"03-09-2025","88.073","88.045","88.195","87.975","","0.09%"
"02-09-2025","87.998","87.985","88.206","87.825","","0.00%"
"01-09-2025","88.001","88.175","88.343","87.931","","-0.20%"
"29-08-2025","88.174","87.591","88.313","87.575","","0.67%"
"28-08-2025","87.591","87.659","87.696","87.520","","-0.08%"
"27-08-2025","87.661","87.674","87.883","87.607","","0.03%"
"26-08-2025","87.635","87.623","87.805","87.582","","0.03%"
"25-08-2025","87.608","87.310","87.623","87.274","","0.32%"
"22-08-2025","87.331","87.266","87.551","87.179","","0.04%"
"21-08-2025","87.294","87.023","87.343","86.926","","0.32%"
"20-08-2025","87.018","87.073","87.171","86.980","","-0.06%"
"19-08-2025","87.070","87.297","87.382","86.921","","-0.28%"
"18-08-2025","87.311","87.545","87.559","87.296","","-0.23%"
"15-08-2025","87.513","87.692","87.694","87.410","","-0.20%"
"14-08-2025","87.691","87.471","87.700","87.385","","0.28%"
"13-08-2025","87.450","87.595","87.727","87.380","","-0.18%"
"12-08-2025","87.606","87.656","87.761","87.575","","-0.06%"
"11-08-2025","87.660","87.541","87.763","87.472","","0.20%"
"08-08-2025","87.489","87.435","87.759","87.435","","0.05%"
"07-08-2025","87.446","87.715","87.798","87.345","","-0.32%"
"06-08-2025","87.725","87.785","87.851","87.629","","-0.12%"
"05-08-2025","87.830","87.977","87.977","87.736","","0.17%"
"04-08-2025","87.680","87.284","87.727","87.155","","0.50%"
"01-08-2025","87.245","87.490","87.673","87.170","","-0.32%"
"31-07-2025","87.524","87.715","87.796","87.501","","-0.19%"
"30-07-2025","87.691","87.058","87.846","87.050","","0.67%"
"29-07-2025","87.108","86.770","87.108","86.735","","0.47%"
"28-07-2025","86.697","86.481","86.725","86.402","","0.22%"
"25-07-2025","86.503","86.432","86.641","86.405","","0.14%"
"24-07-2025","86.380","86.401","86.445","86.241","","0.00%"
"23-07-2025","86.380","86.328","86.471","86.284","","0.07%"
"22-07-2025","86.322","86.195","86.441","86.180","","0.15%"
"21-07-2025","86.195","86.134","86.362","86.132","","0.05%"
"18-07-2025","86.150","86.010","86.244","85.972","","0.13%"
"17-07-2025","86.035","85.922","86.136","85.796","","0.17%"
"16-07-2025","85.885","85.959","86.081","85.733","","-0.12%"
"15-07-2025","85.991","86.009","86.032","85.742","","-0.03%"
"14-07-2025","86.017","85.824","86.062","85.810","","0.22%"
"11-07-2025","85.825","85.735","85.921","85.690","","0.09%"
"10-07-2025","85.749","85.715","85.766","85.533","","0.08%"
"09-07-2025","85.680","85.760","85.932","85.637","","-0.09%"
"08-07-2025","85.760","85.778","85.835","85.632","","0.00%"
"07-07-2025","85.760","85.575","86.043","85.575","","0.31%"
"04-07-2025","85.497","85.480","85.535","85.307","","0.07%"
"03-07-2025","85.433","85.559","85.708","85.183","","-0.22%"
"02-07-2025","85.625","85.617","85.772","85.566","","-0.01%"
"01-07-2025","85.630","85.700","85.700","85.457","","-0.08%"
"30-06-2025","85.700","85.479","85.845","85.441","","0.29%"
"27-06-2025","85.455","85.640","85.681","85.422","","-0.22%"
"26-06-2025","85.640","86.021","86.055","85.614","","-0.46%"
"25-06-2025","86.040","85.937","86.148","85.791","","0.11%"
"24-06-2025","85.944","86.157","86.265","85.899","","-0.73%"
"23-06-2025","86.580","86.788","86.871","86.571","","0.00%"
"20-06-2025","86.580","86.684","86.698","86.530","","-0.30%"
"19-06-2025","86.840","86.416","86.916","86.416","","0.47%"
"18-06-2025","86.430","86.315","86.573","86.263","","0.13%"
"17-06-2025","86.318","86.030","86.404","85.890","","0.55%"
"16-06-2025","85.846","86.149","86.260","85.782","","-0.30%"
"13-06-2025","86.108","86.164","86.217","85.924","","0.62%"
"12-06-2025","85.581","85.470","85.665","85.401","","0.13%"
"11-06-2025","85.468","85.560","85.631","85.412","","-0.15%"
"10-06-2025","85.596","85.666","85.695","85.505","","-0.09%"
"09-06-2025","85.670","85.803","85.813","85.466","","-0.14%"
"06-06-2025","85.786","85.838","86.005","85.621","","-0.06%"
"05-06-2025","85.835","85.849","85.978","85.663","","-0.05%"
"04-06-2025","85.875","85.692","86.045","85.651","","0.19%"
"03-06-2025","85.709","85.392","85.709","85.359","","0.42%"
"02-06-2025","85.354","85.504","85.594","85.292","","-0.20%"
"30-05-2025","85.525","85.368","85.653","85.248","","0.12%"
"29-05-2025","85.419","85.557","85.620","85.386","","0.01%"
"28-05-2025","85.414","85.519","85.737","85.321","","0.10%"
"27-05-2025","85.330","85.075","85.464","85.040","","0.28%"
"26-05-2025","85.088","85.037","85.184","84.785","","-0.13%"
"23-05-2025","85.200","85.953","86.045","85.111","","-0.92%"
"22-05-2025","85.995","85.609","86.115","85.530","","0.46%"
