"Date","Price","Open","High","Low","Vol.","Change %"
"29-12-2025","117.35","119.65","119.65","115.40","12.56M","-0.81%"
"26-12-2025","118.31","120.00","120.27","117.35","10.48M","0.83%"
"24-12-2025","117.34","120.19","120.19","116.80","9.78M","0.07%"
"23-12-2025","117.26","116.52","120.85","116.52","9.84M","1.51%"
"22-12-2025","115.52","112.84","115.83","112.84","7.78M","1.71%"
"19-12-2025","113.58","113.30","113.78","113.08","6.05M","-0.33%"
"18-12-2025","113.96","114.47","114.49","113.69","13.14M","0.08%"
"17-12-2025","113.87","116.05","116.05","113.06","11.38M","0.57%"
"16-12-2025","113.22","113.37","113.80","112.97","5.46M","-1.26%"
"15-12-2025","114.67","116.21","116.21","113.40","14.22M","1.14%"
"12-12-2025","113.38","113.28","113.52","111.86","5.21M","2.28%"
"11-12-2025","110.85","110.66","111.08","110.11","5.78M","0.81%"
"10-12-2025","109.96","110.57","110.58","109.71","3.41M","-0.05%"
"09-12-2025","110.01","110.39","110.50","109.10","5.54M","-0.66%"
"08-12-2025","110.74","111.50","112.18","109.52","9.66M","0.09%"
"05-12-2025","110.64","109.75","110.70","109.43","6.45M","0.81%"
"04-12-2025","109.75","110.93","110.93","109.36","4.48M","-0.33%"
"03-12-2025","110.11","110.02","110.87","108.57","5.38M","0.80%"
"02-12-2025","109.24","110.40","110.40","109.06","3.53M","-1.19%"
"01-12-2025","110.56","109.32","111.09","109.32","4.88M","2.29%"
"28-11-2025","108.09","108.24","108.46","107.87","3.30M","0.39%"
"27-11-2025","107.67","107.64","107.94","107.18","2.10M","-0.01%"
"26-11-2025","107.68","107.56","108.02","107.55","4.55M","0.68%"
"25-11-2025","106.95","106.86","107.44","106.64","2.34M","1.12%"
"24-11-2025","105.77","105.80","105.83","105.03","3.18M","0.22%"
"21-11-2025","105.54","105.15","105.85","104.10","2.96M","0.44%"
"20-11-2025","105.08","105.40","105.43","104.41","3.78M","-0.51%"
"19-11-2025","105.62","105.44","105.99","104.62","2.68M","1.40%"
"18-11-2025","104.16","104.37","104.40","103.33","4.29M","-1.19%"
"17-11-2025","105.41","104.07","105.87","104.07","6.83M","-1.75%"
"14-11-2025","107.29","108.70","108.70","106.90","4.78M","-1.57%"
"13-11-2025","109.00","109.40","109.40","107.50","7.62M","2.63%"
"12-11-2025","106.21","106.01","106.59","105.61","2.85M","-0.60%"
"11-11-2025","106.85","107.79","107.79","106.22","4.01M","1.60%"
"10-11-2025","105.17","104.98","105.32","103.75","2.80M","1.88%"
"07-11-2025","103.23","103.27","103.45","102.91","5.10M","-0.12%"
