"Date","Price","Open","High","Low","Vol.","Change %"
"08-12-2025","106.85","106.77","106.96","106.11","26.11M","-0.04%"
"05-12-2025","106.89","106.27","107.02","105.82","22.86M","0.92%"
"04-12-2025","105.92","106.67","106.96","105.70","27.12M","-0.55%"
"03-12-2025","106.51","106.25","106.70","106.24","25.81M","0.83%"
"02-12-2025","105.63","106.65","106.65","105.39","26.34M","-1.02%"
"01-12-2025","106.72","106.09","106.80","105.77","32.94M","2.01%"
"28-11-2025","104.62","104.60","104.98","104.31","18.63M","0.49%"
"27-11-2025","104.11","104.10","104.40","103.84","19.40M","-0.07%"
"26-11-2025","104.18","103.91","104.35","103.91","23.02M","0.70%"
"25-11-2025","103.46","103.22","104.00","103.10","24.99M","1.20%"
"24-11-2025","102.23","101.99","102.34","101.55","24.13M","0.23%"
"21-11-2025","102.00","101.65","102.29","100.61","23.46M","0.44%"
"20-11-2025","101.55","101.50","102.07","101.02","20.60M","-0.67%"
"19-11-2025","102.23","101.25","102.60","101.25","22.24M","1.31%"
"18-11-2025","100.91","100.87","101.12","100.01","35.66M","-1.01%"
"17-11-2025","101.94","103.36","103.36","101.00","27.82M","-1.80%"
"14-11-2025","103.81","105.12","105.12","103.56","28.53M","-1.48%"
"13-11-2025","105.37","104.16","105.46","104.16","33.21M","2.61%"
"12-11-2025","102.69","102.98","102.98","102.15","29.60M","-0.58%"
"11-11-2025","103.29","102.83","103.72","102.80","33.80M","1.56%"
"10-11-2025","101.70","101.19","101.85","100.46","30.58M","1.76%"
"07-11-2025","99.94","99.98","100.07","99.33","18.10M","-0.13%"
"06-11-2025","100.07","99.13","100.20","99.13","20.33M","0.27%"
"04-11-2025","99.80","99.83","99.98","99.03","24.92M","-0.25%"
"03-11-2025","100.05","100.02","100.70","99.72","23.32M","0.03%"
"31-10-2025","100.02","99.76","100.50","99.42","27.80M","0.34%"
"30-10-2025","99.68","99.26","100.10","97.30","42.61M","-0.27%"
"29-10-2025","99.95","98.00","100.14","98.00","42.88M","3.21%"
"28-10-2025","96.84","99.98","99.98","96.60","70.69M","-3.30%"
"27-10-2025","100.14","100.75","101.21","99.83","57.20M","-0.28%"
"24-10-2025","100.42","101.12","102.24","100.00","45.38M","-1.26%"
"23-10-2025","101.70","105.20","105.20","95.55","93.78M","-3.78%"
"21-10-2025","105.69","108.21","108.21","104.09","21.80M","0.52%"
"20-10-2025","105.14","106.90","106.90","103.90","116.06M","-2.75%"
"17-10-2025","108.11","105.73","108.69","105.73","62.62M","2.60%"
"16-10-2025","105.37","105.35","106.20","104.76","56.57M","0.08%"
"15-10-2025","105.29","105.20","106.23","104.91","76.14M","0.19%"
"14-10-2025","105.09","105.73","105.75","103.30","85.46M","2.38%"
"13-10-2025","102.65","102.60","102.75","101.60","50.59M","1.97%"
"10-10-2025","100.67","100.00","101.00","99.03","50.04M","-0.79%"
"09-10-2025","101.47","102.60","102.60","100.39","57.01M","-0.22%"
"08-10-2025","101.69","100.10","101.94","99.70","57.36M","2.04%"
"07-10-2025","99.66","99.22","100.18","99.05","53.31M","0.44%"
"06-10-2025","99.22","98.20","99.80","97.35","57.33M","2.21%"
"03-10-2025","97.07","96.88","97.49","96.51","44.92M","-0.57%"
"01-10-2025","97.63","97.60","97.79","95.85","35.43M","1.86%"
"30-09-2025","95.85","97.74","97.74","95.32","51.69M","-0.05%"
"29-09-2025","95.90","94.80","95.96","94.34","34.62M","1.78%"
"26-09-2025","94.22","93.39","96.20","93.39","30.12M","-0.22%"
"25-09-2025","94.43","97.00","97.00","93.47","31.94M","-0.22%"
"24-09-2025","94.64","95.90","97.50","94.51","35.83M","-0.52%"
"23-09-2025","95.13","94.13","95.38","93.00","36.91M","2.14%"
"22-09-2025","93.14","92.00","93.21","91.43","29.19M","2.03%"
"19-09-2025","91.29","92.80","92.80","91.01","14.94M","-0.34%"
"18-09-2025","91.60","92.30","92.30","90.45","23.02M","0.38%"
"17-09-2025","91.25","91.90","91.98","90.96","29.42M","-1.11%"
"16-09-2025","92.27","92.62","92.62","91.03","22.76M","1.48%"
"15-09-2025","90.92","93.00","93.00","90.80","21.82M","-0.37%"
"12-09-2025","91.26","91.60","91.60","91.00","21.00M","0.71%"
"11-09-2025","90.62","90.00","90.90","89.92","19.83M","-0.31%"
"10-09-2025","90.90","91.80","92.40","90.51","29.13M","-0.30%"
"09-09-2025","91.17","90.16","92.90","90.16","36.09M","1.32%"
"08-09-2025","89.98","89.29","90.08","88.65","25.74M","1.50%"
"05-09-2025","88.65","88.16","89.89","87.15","17.85M","0.56%"
"04-09-2025","88.16","88.90","88.90","87.54","19.47M","0.32%"
"03-09-2025","87.88","87.48","88.00","87.22","18.82M","1.47%"
"02-09-2025","86.61","87.40","87.40","84.44","20.99M","0.00%"
"01-09-2025","86.61","86.76","87.27","86.45","37.75M","1.49%"
"29-08-2025","85.34","84.42","85.50","83.42","17.61M","1.09%"
"28-08-2025","84.42","84.20","84.46","83.63","13.98M","0.70%"
"26-08-2025","83.83","86.01","86.01","83.10","11.78M","0.40%"
"25-08-2025","83.50","83.93","83.93","83.00","11.01M","1.07%"
"22-08-2025","82.62","83.20","84.00","82.30","11.21M","0.08%"
"21-08-2025","82.55","80.02","84.15","80.02","9.35M","0.57%"
"20-08-2025","82.08","84.78","84.78","81.82","11.63M","-0.28%"
"19-08-2025","82.31","83.25","83.25","82.27","10.26M","-0.53%"
"18-08-2025","82.75","83.50","84.18","82.35","13.54M","-0.47%"
"14-08-2025","83.14","84.40","84.40","82.65","10.25M","-0.06%"
"13-08-2025","83.19","82.00","83.40","82.00","9.12M","0.25%"
"12-08-2025","82.98","84.00","84.00","82.50","11.16M","-0.30%"
"11-08-2025","83.23","83.84","83.84","83.07","15.16M","-1.34%"
"08-08-2025","84.36","84.50","84.63","84.05","15.31M","0.50%"
"07-08-2025","83.94","84.60","84.60","80.50","13.11M","0.60%"
"06-08-2025","83.44","84.20","84.20","83.36","10.88M","-0.20%"
"05-08-2025","83.61","82.56","84.20","82.46","14.40M","0.46%"
"04-08-2025","83.23","83.99","83.99","82.71","13.19M","1.56%"
"01-08-2025","81.95","84.67","84.67","81.05","21.88M","-0.30%"
"31-07-2025","82.20","82.18","82.40","80.00","12.48M","-0.23%"
"30-07-2025","82.39","82.58","82.58","82.05","12.81M","0.59%"
"29-07-2025","81.91","84.49","84.49","81.24","11.35M","-0.15%"
"28-07-2025","82.03","83.89","83.89","81.71","12.69M","-0.09%"
"25-07-2025","82.10","82.60","82.60","81.92","14.94M","-0.24%"
"24-07-2025","82.30","84.70","84.70","81.50","13.66M","-1.73%"
"23-07-2025","83.75","83.77","83.85","83.19","19.50M","1.18%"
"22-07-2025","82.77","84.59","84.59","79.67","12.02M","0.78%"
"21-07-2025","82.13","84.18","84.18","80.50","11.33M","0.49%"
"18-07-2025","81.73","82.57","82.57","79.90","7.57M","0.70%"
"17-07-2025","81.16","83.79","83.79","80.50","6.18M","-0.23%"
"16-07-2025","81.35","81.32","81.40","81.05","6.75M","-0.39%"
"15-07-2025","81.67","83.20","83.20","79.90","8.36M","-0.26%"
"14-07-2025","81.88","82.50","82.65","81.54","11.70M","0.90%"
"11-07-2025","81.15","80.90","81.25","79.95","11.41M","0.55%"
"10-07-2025","80.71","80.33","80.82","80.33","8.23M","0.85%"
"09-07-2025","80.03","83.20","84.78","79.00","11.19M","-0.93%"
"08-07-2025","80.78","81.54","81.54","80.55","5.82M","0.31%"
"07-07-2025","80.53","80.90","81.21","80.10","10.21M","-0.45%"
"04-07-2025","80.89","81.45","81.56","80.70","17.71M","-0.15%"
"03-07-2025","81.01","81.38","81.49","80.93","9.72M","-0.12%"
"02-07-2025","81.11","81.17","81.21","80.30","9.54M","0.07%"
"01-07-2025","81.05","80.95","81.10","80.40","11.30M","1.33%"
"30-06-2025","79.99","82.20","82.20","79.54","19.07M","0.23%"
"27-06-2025","79.81","80.55","80.55","79.74","22.82M","-1.61%"
"26-06-2025","81.12","81.39","81.39","80.97","8.18M","0.01%"
"25-06-2025","81.11","80.50","81.29","80.33","17.51M","0.16%"
"24-06-2025","80.98","81.39","82.28","80.90","24.23M","-2.03%"
"23-06-2025","82.66","83.33","83.33","82.03","15.18M","0.52%"
"20-06-2025","82.23","82.00","83.70","82.00","15.09M","-0.68%"
"19-06-2025","82.79","82.50","85.00","82.14","15.70M","0.00%"
"18-06-2025","82.79","84.30","84.30","81.79","12.09M","0.28%"
"17-06-2025","82.56","84.20","84.20","82.20","12.60M","-0.64%"
"16-06-2025","83.09","84.20","84.20","82.90","18.78M","-0.05%"
"13-06-2025","83.13","83.83","83.83","82.20","27.04M","2.14%"
"12-06-2025","81.39","82.38","82.38","80.78","18.07M","0.78%"
"11-06-2025","80.76","82.40","82.40","80.32","8.05M","0.19%"
"10-06-2025","80.61","80.38","80.70","79.90","11.93M","0.16%"
"09-06-2025","80.48","80.82","80.89","79.90","15.15M","-0.92%"
"06-06-2025","81.23","81.95","81.95","79.90","12.14M","-0.61%"
"05-06-2025","81.73","83.75","83.75","80.87","14.13M","0.52%"
"04-06-2025","81.31","81.77","82.47","80.97","15.17M","0.42%"
"03-06-2025","80.97","82.50","82.50","80.63","13.06M","0.56%"
"02-06-2025","80.52","80.90","80.90","79.42","13.51M","1.30%"
"30-05-2025","79.49","79.99","79.99","78.63","7.16M","0.49%"
"29-05-2025","79.10","79.74","79.74","78.98","13.43M","-1.20%"
"28-05-2025","80.06","81.95","81.95","79.50","7.54M","0.63%"
"27-05-2025","79.56","80.52","80.52","77.38","10.77M","-0.26%"
"26-05-2025","79.77","79.51","80.55","79.50","9.38M","0.33%"
"23-05-2025","79.51","79.97","79.97","79.43","37.14M","-0.38%"
"22-05-2025","79.81","80.42","80.42","79.72","22.19M","0.39%"
"21-05-2025","79.50","80.17","80.17","79.28","39.20M","1.68%"
"20-05-2025","78.19","77.97","78.30","77.63","14.84M","-0.17%"
"19-05-2025","78.32","78.42","78.49","77.80","13.04M","0.69%"
"16-05-2025","77.78","79.35","79.35","77.33","16.35M","0.96%"
"15-05-2025","77.04","77.14","77.28","76.36","33.03M","-1.96%"
"14-05-2025","78.58","78.68","78.74","78.22","14.22M","-0.62%"
"13-05-2025","79.07","78.03","79.88","78.03","15.31M","1.40%"
"12-05-2025","77.98","79.38","79.46","77.80","32.65M","-3.49%"
"09-05-2025","80.80","80.48","81.15","80.02","17.15M","-0.17%"
"08-05-2025","80.94","81.92","81.95","79.82","22.06M","-0.42%"
"07-05-2025","81.28","83.00","83.33","81.12","20.42M","-1.03%"
"06-05-2025","82.13","81.40","82.95","80.62","21.86M","3.20%"
"05-05-2025","79.58","78.95","79.83","78.22","15.89M","0.85%"
"02-05-2025","78.91","78.70","79.09","77.36","22.02M","-0.23%"
"30-04-2025","79.09","79.99","80.20","78.88","21.59M","-1.19%"
"29-04-2025","80.04","81.20","81.20","79.71","21.95M","1.25%"
"28-04-2025","79.05","80.80","80.80","79.01","22.37M","-1.22%"
"25-04-2025","80.03","80.82","81.63","79.81","19.34M","-0.60%"
"24-04-2025","80.51","80.39","80.74","80.11","15.88M","0.15%"
"23-04-2025","80.39","81.48","81.49","79.71","38.57M","-3.03%"
"22-04-2025","82.90","82.52","83.56","82.52","30.53M","2.26%"
"21-04-2025","81.07","80.85","81.18","79.40","26.06M","1.94%"
"17-04-2025","79.53","80.25","80.28","79.31","22.32M","0.38%"
"16-04-2025","79.23","78.40","79.30","78.40","17.44M","2.02%"
"15-04-2025","77.66","78.50","78.50","77.60","22.71M","-0.31%"
"11-04-2025","77.90","76.06","78.71","76.06","41.88M","4.02%"
"09-04-2025","74.89","73.99","75.06","73.53","16.06M","1.64%"
"08-04-2025","73.68","76.05","76.05","72.30","15.92M","-0.20%"
"07-04-2025","73.83","74.60","75.15","65.85","62.55M","-1.55%"
"04-04-2025","74.99","75.86","76.88","74.56","22.61M","-1.13%"
"03-04-2025","75.85","78.50","80.00","75.71","28.34M","-0.50%"
"02-04-2025","76.23","77.48","77.48","75.73","36.08M","-0.64%"
"01-04-2025","76.72","75.84","77.05","75.12","40.72M","3.45%"
"28-03-2025","74.16","73.64","74.80","73.63","28.47M","0.49%"
"27-03-2025","73.80","73.97","73.98","73.23","10.63M","0.75%"
"26-03-2025","73.25","73.48","73.64","72.82","11.98M","0.03%"
"25-03-2025","73.23","73.35","73.35","72.69","16.52M","0.32%"
"24-03-2025","73.00","74.18","74.18","72.56","63.88M","-1.28%"
"21-03-2025","73.95","74.78","74.78","73.80","18.59M","-0.72%"
"20-03-2025","74.49","73.59","75.18","72.00","8.44M","0.32%"
"19-03-2025","74.25","74.78","74.78","74.10","17.35M","0.16%"
"18-03-2025","74.13","74.50","74.50","73.62","13.20M","0.82%"
"17-03-2025","73.53","73.88","73.88","73.24","12.76M","0.98%"
"13-03-2025","72.82","72.62","72.97","72.61","9.10M","0.69%"
"12-03-2025","72.32","72.06","72.67","72.06","5.42M","0.33%"
